# I-E ri-misura in linea (S1103, 2026-09-15T16:27) — READ ONLY

query per tabella: select count(*) from sys.<t>  ·  select count(*) from sys.<t> b where exists (select 1 from sys.sys_source_lineage_records l where replace(l.source_lineage_target_table_name,'sys.','')='<t>' and l.source_lineage_target_record_id::text = b.<pk>::text)

| tabella | righe (lettore) | righe (in linea) | con provenienza (lettore) | con provenienza (in linea) |
|---|---|---|---|---|
| sys_activity_classification_mappings | 3257 | 3257 | 0 | 0 |
| sys_activity_classifications | 4304 | 4304 | 0 | 0 |
| sys_advisor_suggestions | 14 | 14 | 0 | 0 |
| sys_approval_requests | 768 | 768 | 0 | 0 |
| sys_approval_steps | 880 | 880 | 0 | 0 |
| sys_assessment_methods | 5 | 5 | 0 | 0 |
| sys_assessment_results | 1560 | 1560 | 0 | 0 |
| sys_assessments | 615 | 615 | 0 | 0 |
| sys_attendance | 121647 | 121647 | 0 | 3045 |
| sys_auth_credentials | 671 | 671 | 0 | 0 |
| sys_auth_identities | 163 | 163 | 0 | 0 |
| sys_auth_login_events | 95354 | 95354 | 0 | 0 |
| sys_auth_mfa_exemption_audit | 3 | 3 | 0 | 0 |
| sys_auth_mfa_exemption_eligible_users | 3 | 3 | 0 | 0 |
| sys_auth_mfa_exemptions | 3 | 3 | 0 | 0 |
| sys_auth_mfa_factors | 159 | 159 | 0 | 0 |
| sys_auth_mfa_otp_challenges | 0 | 0 | 0 | 0 |
| sys_auth_mfa_policies | 2 | 2 | 0 | 0 |
| sys_auth_mfa_recovery_codes | 0 | 0 | 0 | 0 |
| sys_auth_mfa_webauthn_credentials | 0 | 0 | 0 | 0 |
| sys_auth_password_reset_tokens | 0 | 0 | 0 | 0 |
| sys_auth_permissions | 231 | 231 | 0 | 0 |
| sys_auth_refresh_tokens | 1283 | 1283 | 0 | 0 |
| sys_auth_role_permissions | 1015 | 1015 | 0 | 0 |
| sys_auth_roles | 14 | 14 | 0 | 0 |
| sys_auth_sessions | 0 | 0 | 0 | 0 |
| sys_behavioral_assessments | 465 | 465 | 0 | 0 |
| sys_blueprint_activations | 2 | 2 | 0 | 0 |
| sys_blueprint_content_dashboards | 11 | 11 | 0 | 0 |
| sys_blueprint_content_job_roles | 145 | 145 | 0 | 0 |
| sys_blueprint_content_kpis | 73 | 73 | 0 | 0 |
| sys_blueprint_content_positions | 71 | 71 | 0 | 0 |
| sys_blueprint_content_skills | 132 | 132 | 0 | 0 |
| sys_blueprint_content_units | 33 | 33 | 0 | 0 |
| sys_blueprint_families | 2 | 2 | 0 | 0 |
| sys_blueprint_family_activity_classes | 3 | 3 | 0 | 0 |
| sys_blueprint_overrides | 7 | 7 | 0 | 0 |
| sys_blueprint_process_registry | 23 | 23 | 0 | 0 |
| sys_blueprint_variant_versions | 2 | 2 | 0 | 0 |
| sys_blueprint_variants | 2 | 2 | 0 | 0 |
| sys_bonus_pools | 6 | 6 | 0 | 0 |
| sys_branches | 6 | 6 | 0 | 0 |
| sys_calibration_discussions | 40 | 40 | 40 | 40 |
| sys_calibration_participants | 20 | 20 | 20 | 20 |
| sys_calibration_sessions | 35 | 35 | 35 | 35 |
| sys_candidate_applications | 0 | 0 | 0 | 0 |
| sys_candidates | 1 | 1 | 0 | 0 |
| sys_capability_maturity_scores | 20 | 20 | 0 | 0 |
| sys_capability_score_lineage | 339 | 339 | 0 | 0 |
| sys_capability_scores | 340 | 340 | 0 | 0 |
| sys_career_path_steps | 35 | 35 | 0 | 0 |
| sys_career_paths | 7 | 7 | 0 | 0 |
| sys_compensation_bands | 41 | 41 | 75 | 29 |
| sys_compensation_recommendations | 116 | 116 | 0 | 0 |
| sys_content_blueprint_links | 1 | 1 | 0 | 0 |
| sys_content_categories | 6 | 6 | 0 | 0 |
| sys_content_documents | 189 | 189 | 0 | 0 |
| sys_content_media | 0 | 0 | 0 | 0 |
| sys_content_versions | 237 | 237 | 0 | 0 |
| sys_continuous_feedback | 474 | 474 | 474 | 474 |
| sys_critical_positions | 8 | 8 | 0 | 0 |
| sys_critical_role_coverage_status | 8 | 8 | 0 | 0 |
| sys_dashboard_block_data_classes | 21 | 21 | 0 | 0 |
| sys_dashboard_blocks | 27 | 27 | 0 | 0 |
| sys_dashboards | 8 | 8 | 0 | 0 |
| sys_employee_position_fit_scores | 146 | 146 | 0 | 0 |
| sys_engagement_action_plans | 8 | 8 | 0 | 0 |
| sys_engagement_feedback | 400 | 400 | 0 | 0 |
| sys_engagement_survey_responses | 862 | 862 | 0 | 0 |
| sys_engagement_survey_templates | 5 | 5 | 0 | 0 |
| sys_engagement_surveys | 6 | 6 | 0 | 0 |
| sys_enterprise_size_bands | 5 | 5 | 0 | 0 |
| sys_enterprise_typing_profiles | 2 | 2 | 0 | 0 |
| sys_esco_occupation_embeddings | 3045 | 3045 | 0 | 0 |
| sys_esco_occupation_mappings | 7826 | 7826 | 7645 | 7645 |
| sys_feedback_360_responses | 776 | 776 | 390 | 390 |
| sys_flight_risk_scores | 164 | 164 | 0 | 0 |
| sys_gap_analysis_results | 158 | 158 | 0 | 0 |
| sys_gap_closure_actions | 440 | 440 | 0 | 0 |
| sys_gap_closure_plans | 36 | 36 | 0 | 0 |
| sys_gdpr_data_map | 88 | 88 | 0 | 0 |
| sys_gdpr_requests | 8 | 8 | 0 | 0 |
| sys_generated_record_origins | 0 | 0 | 0 | 0 |
| sys_goal_alignments | 100 | 100 | 100 | 100 |
| sys_goal_check_ins | 7567 | 7567 | 1000 | 1000 |
| sys_goal_comments | 500 | 500 | 500 | 500 |
| sys_goal_milestones | 1000 | 1000 | 1000 | 1000 |
| sys_goal_templates | 40 | 40 | 40 | 40 |
| sys_goal_updates | 1075 | 1075 | 1075 | 1075 |
| sys_goals | 2189 | 2189 | 626 | 626 |
| sys_inbox_notifications | 106 | 106 | 0 | 0 |
| sys_industry_codes | 12 | 12 | 0 | 0 |
| sys_industry_forbidden_terms | 2 | 2 | 0 | 0 |
| sys_interview_feedback | 0 | 0 | 0 | 0 |
| sys_interviews | 0 | 0 | 0 | 0 |
| sys_job_families | 16 | 16 | 16 | 16 |
| sys_job_offers | 0 | 0 | 0 | 0 |
| sys_job_postings | 0 | 0 | 0 | 0 |
| sys_job_requisitions | 0 | 0 | 0 | 0 |
| sys_job_role_embeddings | 176 | 176 | 0 | 0 |
| sys_job_roles | 176 | 176 | 111 | 111 |
| sys_kpi_assessment_methods | 5 | 5 | 0 | 0 |
| sys_kpi_assessment_results | 248 | 248 | 0 | 0 |
| sys_kpi_definitions | 233 | 233 | 0 | 0 |
| sys_kpi_measurements | 248 | 248 | 0 | 0 |
| sys_kpi_metric_definitions | 199 | 199 | 0 | 0 |
| sys_kpi_targets | 301 | 301 | 0 | 0 |
| sys_kpi_weighting_rules | 3 | 3 | 0 | 0 |
| sys_leads | 6 | 6 | 0 | 0 |
| sys_learning_gaps | 270 | 270 | 0 | 0 |
| sys_learning_modules | 92 | 92 | 0 | 0 |
| sys_learning_path_steps | 31 | 31 | 0 | 0 |
| sys_learning_paths | 66 | 66 | 64 | 64 |
| sys_leave_accrual_rules | 20 | 20 | 20 | 20 |
| sys_leave_balance_transactions | 20 | 20 | 20 | 20 |
| sys_mentor_match_scores | 30 | 30 | 0 | 0 |
| sys_mentorship_programs | 5 | 5 | 0 | 0 |
| sys_mentorship_sessions | 150 | 150 | 0 | 0 |
| sys_mentorships | 63 | 63 | 0 | 0 |
| sys_model_predictions | 468 | 468 | 0 | 0 |
| sys_notification_preferences | 0 | 0 | 0 | 0 |
| sys_objective_reward_rules | 6 | 6 | 0 | 0 |
| sys_occupation_classification_mappings | 0 | 0 | 0 | 0 |
| sys_occupation_classifications | 2121 | 2121 | 0 | 0 |
| sys_occupation_skill_requirements | 126051 | 126051 | 0 | 0 |
| sys_okr_check_ins | 25 | 25 | 25 | 25 |
| sys_okr_key_results | 20 | 20 | 20 | 20 |
| sys_okrs | 15 | 15 | 20 | 15 |
| sys_operating_model_catalog | 6 | 6 | 0 | 0 |
| sys_organization_unit_history | 286 | 286 | 0 | 0 |
| sys_organization_unit_kpi_templates | 100 | 100 | 0 | 0 |
| sys_organization_unit_processes | 96 | 96 | 0 | 0 |
| sys_organization_unit_templates | 225 | 225 | 0 | 0 |
| sys_organization_unit_types | 10 | 10 | 0 | 0 |
| sys_organization_units | 45 | 45 | 0 | 0 |
| sys_overtime | 12070 | 12070 | 380 | 178 |
| sys_payout_curves | 3 | 3 | 0 | 0 |
| sys_payroll_handoff_records | 37 | 37 | 0 | 0 |
| sys_performance_review_competency_ratings | 1710 | 1710 | 465 | 465 |
| sys_performance_reviews | 570 | 570 | 161 | 157 |
| sys_person_evidence_records | 237 | 237 | 0 | 0 |
| sys_position_career_paths | 231 | 231 | 0 | 0 |
| sys_position_compensation_profiles | 160 | 160 | 0 | 0 |
| sys_position_economic_weight | 24 | 24 | 0 | 0 |
| sys_position_kpi_requirements | 168 | 168 | 0 | 0 |
| sys_position_learning_requirements | 1886 | 1886 | 0 | 0 |
| sys_position_skill_requirement_history | 181 | 181 | 0 | 0 |
| sys_position_skill_requirements | 1434 | 1434 | 0 | 0 |
| sys_position_succession_relevance | 21 | 21 | 0 | 0 |
| sys_positions | 315 | 315 | 0 | 0 |
| sys_predictive_models | 4 | 4 | 0 | 0 |
| sys_process_kpi_templates | 73 | 73 | 0 | 0 |
| sys_process_participants | 845 | 845 | 0 | 0 |
| sys_project_members | 174 | 174 | 0 | 0 |
| sys_projects | 26 | 26 | 0 | 0 |
| sys_pulse_checks | 2834 | 2834 | 0 | 0 |
| sys_readiness_scores | 89 | 89 | 0 | 0 |
| sys_reconciliation_registry | 153 | 153 | 0 | 0 |
| sys_reference_translations | 36824 | 36824 | 0 | 0 |
| sys_research_sources | 7 | 7 | 0 | 0 |
| sys_review_cycles | 1 | 1 | 0 | 0 |
| sys_reward_gate_catalog | 11 | 11 | 0 | 0 |
| sys_reward_gate_results | 3283 | 3283 | 0 | 0 |
| sys_reward_gates | 3283 | 3283 | 0 | 0 |
| sys_schema_migrations | 414 | 414 | 0 | 0 |
| sys_seed_acquisition_runs | 16 | 16 | 0 | 0 |
| sys_seed_approval_decisions | 16 | 16 | 0 | 0 |
| sys_seed_candidate_records | 25 | 25 | 0 | 0 |
| sys_seed_source_evidence | 28 | 28 | 0 | 0 |
| sys_seed_validation_results | 140 | 140 | 0 | 0 |
| sys_skill_aliases | 80 | 80 | 80 | 80 |
| sys_skill_categories | 7 | 7 | 6 | 6 |
| sys_skill_embeddings | 14031 | 14031 | 0 | 0 |
| sys_skill_families | 77 | 77 | 77 | 77 |
| sys_skill_gap_scores | 156 | 156 | 0 | 0 |
| sys_skill_groups | 640 | 640 | 0 | 0 |
| sys_skill_learning_mappings | 352 | 352 | 0 | 0 |
| sys_skill_proficiency_levels | 6 | 6 | 0 | 0 |
| sys_skill_taxonomy_edges | 18438 | 18438 | 11965 | 11964 |
| sys_skills | 14031 | 14031 | 19764 | 14006 |
| sys_source_lineage_records | 70959 | 70959 | 0 | 0 |
| sys_succession_pools | 9 | 9 | 0 | 0 |
| sys_succession_readiness_scores | 468 | 468 | 0 | 0 |
| sys_succession_scores | 89 | 89 | 0 | 0 |
| sys_successor_candidates | 20 | 20 | 0 | 0 |
| sys_successor_readiness | 59 | 59 | 0 | 0 |
| sys_survey_assignments | 950 | 950 | 0 | 0 |
| sys_survey_questions | 69 | 69 | 0 | 0 |
| sys_survey_responses | 8288 | 8288 | 0 | 0 |
| sys_survey_templates | 2 | 2 | 0 | 0 |
| sys_surveys | 14 | 14 | 0 | 0 |
| sys_talent_scores | 154 | 154 | 0 | 0 |
| sys_team_members | 174 | 174 | 0 | 0 |
| sys_teams | 26 | 26 | 0 | 0 |
| sys_tenancies | 2 | 2 | 0 | 0 |
| sys_tenant_blueprint_process_decisions | 7 | 7 | 0 | 0 |
| sys_tenant_blueprint_snapshots | 1 | 1 | 0 | 0 |
| sys_tenant_blueprint_versions | 1 | 1 | 0 | 0 |
| sys_tenant_blueprints | 1 | 1 | 0 | 0 |
| sys_tenant_boundary_author_columns | 10 | 10 | 0 | 0 |
| sys_time_off_balances | 1886 | 1886 | 498 | 494 |
| sys_time_off_requests | 2211 | 2211 | 99 | 69 |
| sys_training_initiatives | 62 | 62 | 0 | 0 |
| sys_translatable_field | 26 | 26 | 0 | 0 |
| sys_ui_interface_data_classes | 43 | 43 | 0 | 0 |
| sys_ui_interfaces | 85 | 85 | 0 | 0 |
| sys_user_addresses | 171 | 171 | 0 | 0 |
| sys_user_assessment_evidence | 1560 | 1560 | 0 | 0 |
