                    tbl                    |                     dossiers                     
-------------------------------------------+--------------------------------------------------
 sys_activity_classification_mappings      | {}
 sys_activity_classifications              | {}
 sys_assessment_methods                    | {}
 sys_auth_permissions                      | {}
 sys_auth_role_permissions                 | {}
 sys_auth_roles                            | {}
 sys_blueprint_families                    | {}
 sys_blueprint_variants                    | {}
 sys_enterprise_size_bands                 | {}
 sys_esco_occupation_embeddings            | {}
 sys_esco_occupation_mappings              | {}
 sys_gdpr_data_map                         | {}
 sys_job_families                          | {}
 sys_job_role_embeddings                   | {}
 sys_job_roles                             | {}
 sys_kpi_assessment_methods                | {}
 sys_kpi_weighting_rules                   | {}
 sys_leads                                 | {}
 sys_occupation_classification_mappings    | {}
 sys_occupation_classifications            | {}
 sys_operating_model_catalog               | {}
 sys_organization_unit_templates           | {}
 sys_organization_unit_types               | {}
 sys_reconciliation_registry               | {}
 sys_reference_translations                | {}
 sys_reward_gate_catalog                   | {}
 sys_schema_migrations                     | {}
 sys_skill_categories                      | {}
 sys_skill_families                        | {}
 sys_skill_groups                          | {}
 sys_skill_proficiency_levels              | {}
 sys_translatable_field                    | {}
 sys_ui_interfaces                         | {}
 sys_approval_requests                     | {TENANT}
 sys_auth_mfa_policies                     | {TENANT}
 sys_blueprint_activations                 | {TENANT}
 sys_blueprint_process_registry            | {PROCESSO}
 sys_capability_score_lineage              | {TENANT}
 sys_capability_scores                     | {TENANT}
 sys_career_paths                          | {TENANT}
 sys_compensation_bands                    | {TENANT}
 sys_content_categories                    | {TENANT}
 sys_engagement_survey_templates           | {TENANT}
 sys_engagement_surveys                    | {TENANT}
 sys_enterprise_typing_profiles            | {TENANT}
 sys_learning_modules                      | {TENANT}
 sys_learning_path_steps                   | {TENANT}
 sys_learning_paths                        | {TENANT}
 sys_leave_accrual_rules                   | {TENANT}
 sys_mentorship_programs                   | {TENANT}
 sys_objective_reward_rules                | {TENANT}
 sys_occupation_skill_requirements         | {TENANT}
 sys_payout_curves                         | {TENANT}
 sys_payroll_handoff_records               | {TENANT}
 sys_predictive_models                     | {TENANT}
 sys_seed_acquisition_runs                 | {TENANT}
 sys_seed_candidate_records                | {TENANT}
 sys_seed_source_evidence                  | {TENANT}
 sys_seed_validation_results               | {TENANT}
