                  referencing                  |                      fk_col                      |             referenced              
-----------------------------------------------+--------------------------------------------------+-------------------------------------
 sys.sys_source_lineage_records                | source_lineage_import_run_id                     | brownfield.import_runs
 sys.sys_source_lineage_records                | source_lineage_table_mapping_id                  | brownfield.table_mappings
 sys.sys_activity_classification_mappings      | activity_class_mapping_source_id                 | sys.sys_activity_classifications
 sys.sys_activity_classification_mappings      | activity_class_mapping_target_id                 | sys.sys_activity_classifications
 sys.sys_activity_classifications              | activity_classification_parent_code              | sys.sys_activity_classifications
 sys.sys_activity_classifications              | activity_classification_scheme                   | sys.sys_activity_classifications
 sys.sys_enterprise_typing_profiles            | enterprise_typing_industry_class_id              | sys.sys_activity_classifications
 sys.sys_approval_steps                        | approval_step_request_id                         | sys.sys_approval_requests
 sys.sys_assessments                           | assessment_method_id                             | sys.sys_assessment_methods
 sys.sys_assessment_results                    | assessment_result_assessment_id                  | sys.sys_assessments
 sys.sys_user_assessment_evidence              | user_assessment_evidence_assessment_id           | sys.sys_assessments
 sys.sys_auth_credentials                      | auth_credential_identity_id                      | sys.sys_auth_identities
 sys.sys_auth_mfa_otp_challenges               | auth_mfa_otp_factor_id                           | sys.sys_auth_mfa_factors
 sys.sys_auth_mfa_webauthn_credentials         | auth_webauthn_cred_factor_id                     | sys.sys_auth_mfa_factors
 sys.sys_auth_role_permissions                 | auth_permission_id                               | sys.sys_auth_permissions
 sys.sys_auth_refresh_tokens                   | auth_refresh_token_previous_id                   | sys.sys_auth_refresh_tokens
 sys.sys_auth_role_permissions                 | auth_role_id                                     | sys.sys_auth_roles
 sys.sys_user_auth_roles                       | user_auth_role_role_id                           | sys.sys_auth_roles
 sys.sys_blueprint_overrides                   | blueprint_override_activation_id                 | sys.sys_blueprint_activations
 sys.sys_blueprint_variants                    | blueprint_variant_family_id                      | sys.sys_blueprint_families
 sys.sys_blueprint_overrides                   | blueprint_override_process_id                    | sys.sys_blueprint_process_registry
 sys.sys_content_blueprint_links               | link_blueprint_process_id                        | sys.sys_blueprint_process_registry
 sys.sys_organization_unit_processes           | org_unit_process_blueprint_process_id            | sys.sys_blueprint_process_registry
 sys.sys_process_kpi_templates                 | process_kpi_template_process_id                  | sys.sys_blueprint_process_registry
 sys.sys_blueprint_activations                 | blueprint_activation_variant_id                  | sys.sys_blueprint_variants
 sys.sys_blueprint_process_registry            | blueprint_process_variant_id                     | sys.sys_blueprint_variants
 sys.sys_reward_gate_catalog                   | reward_gate_catalog_blueprint_variant_id         | sys.sys_blueprint_variants
 sys.sys_career_path_steps                     | career_path_step_path_id                         | sys.sys_career_paths
 sys.sys_position_career_paths                 | career_path_id                                   | sys.sys_career_paths
 sys.sys_user_career_plans                     | user_career_plan_path_id                         | sys.sys_career_paths
 sys.sys_position_compensation_profiles        | compensation_band_id                             | sys.sys_compensation_bands
 sys.sys_content_categories                    | category_parent_id                               | sys.sys_content_categories
 sys.sys_content_documents                     | document_category_id                             | sys.sys_content_categories
 sys.sys_content_blueprint_links               | link_document_id                                 | sys.sys_content_documents
 sys.sys_content_media                         | media_document_id                                | sys.sys_content_documents
 sys.sys_content_versions                      | version_document_id                              | sys.sys_content_documents
 sys.sys_content_documents                     | document_current_version_id                      | sys.sys_content_versions
 sys.sys_engagement_surveys                    | survey_template_id                               | sys.sys_engagement_survey_templates
 sys.sys_engagement_survey_responses           | response_survey_id                               | sys.sys_engagement_surveys
 sys.sys_blueprint_variants                    | blueprint_variant_size_band_id                   | sys.sys_enterprise_size_bands
 sys.sys_enterprise_typing_profiles            | enterprise_typing_size_band_id                   | sys.sys_enterprise_size_bands
 sys.sys_goal_comments                         | comment_parent_comment_id                        | sys.sys_goal_comments
 sys.sys_goals                                 | goal_template_id                                 | sys.sys_goal_templates
 sys.sys_continuous_feedback                   | feedback_related_goal_id                         | sys.sys_goals
 sys.sys_goal_alignments                       | alignment_aligned_goal_id                        | sys.sys_goals
 sys.sys_goal_alignments                       | alignment_source_goal_id                         | sys.sys_goals
 sys.sys_goal_check_ins                        | check_in_goal_id                                 | sys.sys_goals
 sys.sys_goal_comments                         | comment_goal_id                                  | sys.sys_goals
 sys.sys_goal_milestones                       | milestone_goal_id                                | sys.sys_goals
 sys.sys_goal_updates                          | update_goal_id                                   | sys.sys_goals
 sys.sys_goals                                 | goal_parent_goal_id                              | sys.sys_goals
 sys.sys_job_roles                             | job_role_family_id                               | sys.sys_job_families
 sys.sys_esco_occupation_mappings              | esco_occupation_mapping_job_role_id              | sys.sys_job_roles
 sys.sys_goal_templates                        | template_role_id                                 | sys.sys_job_roles
 sys.sys_job_role_embeddings                   | job_role_id                                      | sys.sys_job_roles
 sys.sys_positions                             | position_job_role_id                             | sys.sys_job_roles
