                    tbl                    |   n    
-------------------------------------------+--------
 sys_occupation_skill_requirements         | 126051
 sys_auth_login_events                     |  91698
 sys_source_lineage_records                |  70972
 sys_reference_translations                |  32426
 sys_skill_taxonomy_edges                  |  18420
 sys_skill_embeddings                      |  14041
 sys_skills                                |  14041
 sys_auth_refresh_tokens                   |   8929
 sys_esco_occupation_mappings              |   7675
 sys_learning_paths                        |   4667
 sys_survey_responses                      |   3792
 sys_activity_classifications              |   3257
 sys_attendance                            |   3180
 sys_esco_occupation_embeddings            |   3045
 sys_pulse_checks                          |   2834
 sys_occupation_classifications            |   2121
 sys_user_learning_assignments             |   1990
 sys_goal_updates                          |   1811
 sys_position_learning_requirements        |   1791
 sys_position_skill_requirements           |   1678
 sys_assessment_results                    |   1560
 sys_user_assessment_evidence              |   1560
 sys_user_learning_evidence                |   1434
 sys_user_skills                           |   1355
 sys_process_participants                  |   1104
 sys_goals                                 |   1067
 sys_goal_check_ins                        |   1000
 sys_goal_milestones                       |   1000
 sys_learning_modules                      |    987
 sys_auth_role_permissions                 |    908
 sys_user_skill_evidence                   |    902
 sys_engagement_survey_responses           |    862
 sys_goal_comments                         |    856
 sys_skill_learning_mappings               |    662
 sys_user_documents                        |    657
 sys_skill_groups                          |    640
 sys_assessments                           |    615
 sys_time_off_balances                     |    494
 sys_user_certifications                   |    477
 sys_continuous_feedback                   |    474
 sys_user_pay_slips                        |    471
 sys_model_predictions                     |    468
 sys_succession_readiness_scores           |    468
 sys_behavioral_assessments                |    465
 sys_performance_review_competency_ratings |    465
 sys_gap_closure_actions                   |    440
 sys_engagement_feedback                   |    400
 sys_feedback_360_responses                |    390
 sys_user_auth_roles                       |    340
 sys_user_identity_documents               |    332
 sys_auth_credentials                      |    330
 sys_capability_scores                     |    317
 sys_capability_score_lineage              |    316
 sys_kpi_targets                           |    301
 sys_learning_gaps                         |    270
 sys_kpi_assessment_results                |    248
 sys_kpi_measurements                      |    248
 sys_user_kpi_evidence                     |    248
 sys_kpi_definitions                       |    243
 sys_kpi_metric_definitions                |    243
 sys_person_evidence_records               |    237
 sys_organization_unit_templates           |    225
 sys_schema_migrations                     |    214
 sys_auth_permissions                      |    204
 sys_positions                             |    181
 sys_overtime                              |    178
 sys_auth_mfa_factors                      |    176
 sys_content_versions                      |    176
 sys_team_members                          |    173
 sys_position_compensation_profiles        |    172
 sys_position_kpi_requirements             |    172
 sys_user_addresses                        |    171
 sys_user_position_assignments             |    167
 sys_content_documents                     |    163
 sys_users                                 |    163
 sys_flight_risk_scores                    |    162
 sys_performance_reviews                   |    161
 sys_user_demographics                     |    161
 sys_user_employment                       |    161
 sys_auth_identities                       |    160
 sys_user_contracts                        |    160
 sys_user_education_records                |    160
 sys_gap_analysis_results                  |    158
 sys_visualization_nodes                   |    158
 sys_user_profiles                         |    157
 sys_visualization_edges                   |    157
 sys_skill_gap_scores                      |    156
 sys_user_bank_details                     |    156
 sys_user_profile_embeddings               |    156
 sys_talent_scores                         |    154
 sys_mentorship_sessions                   |    150
 sys_user_family_members                   |    150
 sys_employee_position_fit_scores          |    146
 sys_job_role_embeddings                   |    137
 sys_job_roles                             |    137
 sys_reconciliation_registry               |    125
 sys_learning_path_steps                   |    124
 sys_variable_pay_calculations             |    121
 sys_compensation_recommendations          |    116
 sys_user_career_plans                     |    113
 sys_organization_unit_processes           |    105
 sys_goal_alignments                       |    100
 sys_organization_unit_kpi_templates       |    100
 sys_readiness_scores                      |     90
 sys_succession_scores                     |     90
 sys_compensation_bands                    |     87
 sys_skill_aliases                         |     80
 sys_skill_families                        |     77
 sys_time_off_requests                     |     69
 sys_mentorships                           |     63
 sys_ui_interfaces                         |     55
 sys_gdpr_data_map                         |     54
 sys_inbox_notifications                   |     52
 sys_goal_templates                        |     40
 sys_position_career_paths                 |     40
 sys_gap_closure_plans                     |     36
 sys_career_path_steps                     |     35
 sys_auth_password_reset_tokens            |     33
 sys_mentor_match_scores                   |     30
 sys_organization_units                    |     28
 sys_job_families                          |     27
 sys_teams                                 |     26
 sys_okr_check_ins                         |     25
 sys_successor_candidates                  |     25
 sys_translatable_field                    |     25
 sys_position_economic_weight              |     24
 sys_blueprint_process_registry            |     23
 sys_survey_questions                      |     21
 sys_capability_maturity_scores            |     20
 sys_leave_accrual_rules                   |     20
 sys_leave_balance_transactions            |     20
 sys_okr_key_results                       |     20
 sys_okrs                                  |     20
 sys_succession_pools                      |     17
 sys_auth_roles                            |     13
 sys_position_succession_relevance         |      9
 sys_critical_positions                    |      8
 sys_critical_role_coverage_status         |      8
 sys_organization_unit_types               |      8
 sys_survey_assignments                    |      8
 sys_surveys                               |      8
 sys_career_paths                          |      7
 sys_reward_gate_catalog                   |      7
 sys_skill_categories                      |      7
 sys_auth_mfa_webauthn_credentials         |      6
 sys_bonus_pools                           |      6
 sys_branches                              |      6
 sys_engagement_action_plans               |      6
 sys_engagement_surveys                    |      6
 sys_objective_reward_rules                |      6
 sys_operating_model_catalog               |      6
 sys_skill_proficiency_levels              |      6
 sys_user_preferences                      |      6
 sys_assessment_methods                    |      5
 sys_engagement_survey_templates           |      5
 sys_enterprise_size_bands                 |      5
 sys_kpi_assessment_methods                |      5
 sys_mentorship_programs                   |      5
 sys_predictive_models                     |      4
 sys_kpi_weighting_rules                   |      3
 sys_auth_mfa_policies                     |      2
 sys_enterprise_typing_profiles            |      2
 sys_survey_templates                      |      2
 sys_tenancies                             |      2
 sys_blueprint_families                    |      1
 sys_blueprint_variants                    |      1
 sys_content_blueprint_links               |      1
 sys_gdpr_requests                         |      1
 sys_visualization_graphs                  |      1
 sys_activity_classification_mappings      |      0
 sys_approval_requests                     |      0
 sys_approval_steps                        |      0
 sys_auth_mfa_exemption_audit              |      0
 sys_auth_mfa_exemptions                   |      0
 sys_auth_mfa_otp_challenges               |      0
 sys_auth_mfa_recovery_codes               |      0
 sys_auth_sessions                         |      0
 sys_blueprint_activations                 |      0
 sys_blueprint_overrides                   |      0
 sys_content_categories                    |      0
 sys_content_media                         |      0
 sys_leads                                 |      0
 sys_notification_preferences              |      0
 sys_occupation_classification_mappings    |      0
 sys_organization_unit_history             |      0
 sys_payout_curves                         |      0
 sys_payroll_handoff_records               |      0
 sys_position_skill_requirement_history    |      0
 sys_process_kpi_templates                 |      0
 sys_reward_gate_results                   |      0
 sys_reward_gates                          |      0
 sys_seed_acquisition_runs                 |      0
 sys_seed_approval_decisions               |      0
 sys_seed_candidate_records                |      0
 sys_seed_source_evidence                  |      0
 sys_seed_validation_results               |      0
 sys_successor_readiness                   |      0
 sys_training_initiatives                  |      0
 sys_user_consents                         |      0
 sys_user_professional_experiences         |      0
 sys_user_target_positions                 |      0
 sys_visualization_exports                 |      0
 sys_visualization_layouts                 |      0
 sys_visualization_node_layouts            |      0
 sys_visualization_styles                  |      0
 sys_whistleblowing_reports                |      0
(206 rows)

