scheme,code,parent_code,level,name
ISCO_08,1,,1,Dirigenti
ISCO_08,11,1,2,"Direttori, dirigenti superiori della pubblica amministrazione, membri dell’esecutivo e dei corpi legislativi"
ISCO_08,111,11,3,"Membri dell’esecutivo e dei corpi legislativi, dirigenti superiori della pubblica amministrazione"
ISCO_08,1111,111,4,Membri dell’esecutivo e dei corpi legislativi
ISCO_08,1112,111,4,Dirigenti superiori della pubblica amministrazione
ISCO_08,1113,111,4,Capi tradizionali e capi villaggio
ISCO_08,1114,111,4,Dirigenti superiori di organizzazioni specializzate
ISCO_08,112,11,3,Direttori
ISCO_08,1120,112,4,Direttori
ISCO_08,12,1,2,Dirigenti amministrativi e commerciali
ISCO_08,121,12,3,Dirigenti nei servizi alle imprese e dell’amministrazione
ISCO_08,1211,121,4,Dirigenti nei servizi finanziari
ISCO_08,1212,121,4,Dirigenti delle risorse umane
ISCO_08,1213,121,4,Dirigenti strategie e pianificazione
ISCO_08,1219,121,4,Dirigenti nei servizi alle imprese e dell’amministrazione non classificati altrove
ISCO_08,122,12,3,"Dirigenti nei servizi di vendita, commercializzazione e sviluppo"
ISCO_08,1221,122,4,Dirigenti nei servizi di vendita e commercializzazione
ISCO_08,1222,122,4,Dirigenti nei servizi di pubblicità e pubbliche relazioni
ISCO_08,1223,122,4,Dirigenti nel settore ricerca e sviluppo
ISCO_08,13,1,2,Dirigenti nei servizi di produzione e specializzati
ISCO_08,131,13,3,"Dirigenti nella produzione agricola, forestale e della pesca"
ISCO_08,1311,131,4,Dirigenti nella produzione agricola e forestale
ISCO_08,1312,131,4,Dirigenti nella produzione della pesca e dell’acquacoltura
ISCO_08,132,13,3,"Dirigenti dell’industria manifatturiera, dell’estrazione, dell’edilizia e della distribuzione"
ISCO_08,1321,132,4,Dirigenti dell’industria manifatturiera
ISCO_08,1322,132,4,Dirigenti dell’industria dell’estrazione
ISCO_08,1323,132,4,Dirigenti dell’edilizia
ISCO_08,1324,132,4,"Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati"
ISCO_08,133,13,3,Dirigenti nei servizi delle tecnologie dell’informazione e della comunicazione
ISCO_08,1330,133,4,Dirigenti nei servizi delle tecnologie dell’informazione e della comunicazione
ISCO_08,134,13,3,Dirigenti nei servizi professionali
ISCO_08,1341,134,4,Dirigenti nei servizi di sorveglianza dei bambini
ISCO_08,1342,134,4,Dirigenti nei servizi sanitari
ISCO_08,1343,134,4,Dirigenti nei servizi di assistenza agli anziani
ISCO_08,1344,134,4,Dirigenti nei servizi sociali
ISCO_08,1345,134,4,Dirigenti nel settore dell’educazione
ISCO_08,1346,134,4,Dirigenti di filiale nei servizi finanziari e assicurativi
ISCO_08,1349,134,4,Dirigenti in servizi professionali non classificati altrove
ISCO_08,14,1,2,"Dirigenti nei servizi alberghieri, nel commercio ed assimilati"
ISCO_08,141,14,3,Dirigenti nei servizi alberghieri e nella ristorazione
ISCO_08,1411,141,4,Dirigenti nei servizi alberghieri
ISCO_08,1412,141,4,Dirigenti nella ristorazione
ISCO_08,142,14,3,Dirigenti nel commercio all’ingrosso e al dettaglio
ISCO_08,1420,142,4,Dirigenti nel commercio all’ingrosso e al dettaglio
ISCO_08,143,14,3,Dirigenti in altri servizi
ISCO_08,1431,143,4,"Dirigenti di centri per le attività sportive, ricreative e culturali"
ISCO_08,1439,143,4,Dirigenti di servizi non classificati altrove
ISCO_08,2,,1,Professioni intellettuali e scientifiche
ISCO_08,21,2,2,Specialisti in scienze e ingegneria
ISCO_08,211,21,3,Specialisti in scienze fisiche e della terra
ISCO_08,2111,211,4,Fisici e astronomi
ISCO_08,2112,211,4,Meteorologi
ISCO_08,2113,211,4,Chimici
ISCO_08,2114,211,4,Geologi e geofisici
ISCO_08,212,21,3,"Matematici, attuari e statistici"
ISCO_08,2120,212,4,"Matematici, attuari e statistici"
ISCO_08,213,21,3,Specialisti nelle scienze della vita
ISCO_08,2131,213,4,"Biologi, botanici, zoologi ed assimilati"
ISCO_08,2132,213,4,"Agronomi, forestali e ittiologi"
ISCO_08,2133,213,4,Specialisti in protezione ambientale
