entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:1,name,en,Managers,HARVEST
sys_occupation_classifications,ISCO_08:11,name,en,"Chief Executives, Senior Officials and Legislators",HARVEST
sys_occupation_classifications,ISCO_08:111,name,en,Legislators and Senior Officials,HARVEST
sys_occupation_classifications,ISCO_08:1111,name,en,Legislators,HARVEST
sys_occupation_classifications,ISCO_08:1112,name,en,Senior Government Officials,HARVEST
sys_occupation_classifications,ISCO_08:1113,name,en,Traditional Chiefs and Heads of Villages,HARVEST
sys_occupation_classifications,ISCO_08:1114,name,en,Senior Officials of Special-interest Organizations,HARVEST
sys_occupation_classifications,ISCO_08:112,name,en,Managing Directors and Chief Executives,HARVEST
sys_occupation_classifications,ISCO_08:1120,name,en,Managing Directors and Chief Executives,HARVEST
sys_occupation_classifications,ISCO_08:12,name,en,Administrative and Commercial Managers,HARVEST
sys_occupation_classifications,ISCO_08:121,name,en,Business Services and Administration Managers,HARVEST
sys_occupation_classifications,ISCO_08:1211,name,en,Finance Managers,HARVEST
sys_occupation_classifications,ISCO_08:1212,name,en,Human Resource Managers,HARVEST
sys_occupation_classifications,ISCO_08:1213,name,en,Policy and Planning Managers,HARVEST
sys_occupation_classifications,ISCO_08:1219,name,en,Business Services and Administration Managers Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:122,name,en,"Sales, Marketing and Development Managers",HARVEST
sys_occupation_classifications,ISCO_08:1221,name,en,Sales and Marketing Managers,HARVEST
sys_occupation_classifications,ISCO_08:1222,name,en,Advertising and Public Relations Managers,HARVEST
sys_occupation_classifications,ISCO_08:1223,name,en,Research and Development Managers,HARVEST
sys_occupation_classifications,ISCO_08:13,name,en,Production and Specialized Services Managers,HARVEST
sys_occupation_classifications,ISCO_08:131,name,en,"Production Managers in Agriculture, Forestry and Fisheries",HARVEST
sys_occupation_classifications,ISCO_08:1311,name,en,Agricultural and Forestry Production Managers,HARVEST
sys_occupation_classifications,ISCO_08:1312,name,en,Aquaculture and Fisheries Production Managers,HARVEST
sys_occupation_classifications,ISCO_08:132,name,en,"Manufacturing, Mining, Construction and Distribution Managers",HARVEST
sys_occupation_classifications,ISCO_08:1321,name,en,Manufacturing Managers,HARVEST
sys_occupation_classifications,ISCO_08:1322,name,en,Mining Managers,HARVEST
sys_occupation_classifications,ISCO_08:1323,name,en,Construction Managers,HARVEST
sys_occupation_classifications,ISCO_08:1324,name,en,"Supply, Distribution and Related Managers",HARVEST
sys_occupation_classifications,ISCO_08:133,name,en,Information and Communications Technology Service managers,HARVEST
sys_occupation_classifications,ISCO_08:1330,name,en,Information and Communications Technology Service Managers,HARVEST
sys_occupation_classifications,ISCO_08:134,name,en,Professional Services Managers,HARVEST
sys_occupation_classifications,ISCO_08:1341,name,en,Child Care Service Managers,HARVEST
sys_occupation_classifications,ISCO_08:1342,name,en,Health Service Managers,HARVEST
sys_occupation_classifications,ISCO_08:1343,name,en,Aged Care Service Managers,HARVEST
sys_occupation_classifications,ISCO_08:1344,name,en,Social Welfare Managers,HARVEST
sys_occupation_classifications,ISCO_08:1345,name,en,Education Managers,HARVEST
sys_occupation_classifications,ISCO_08:1346,name,en,Financial and Insurance Services Branch managers,HARVEST
sys_occupation_classifications,ISCO_08:1349,name,en,Professional Services Managers Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:14,name,en,"Hospitality, Retail and Other Services Managers",HARVEST
sys_occupation_classifications,ISCO_08:141,name,en,Hotel and Restaurant Managers,HARVEST
sys_occupation_classifications,ISCO_08:1411,name,en,Hotel Managers,HARVEST
sys_occupation_classifications,ISCO_08:1412,name,en,Restaurant Managers,HARVEST
sys_occupation_classifications,ISCO_08:142,name,en,Retail and Wholesale Trade Managers,HARVEST
sys_occupation_classifications,ISCO_08:1420,name,en,Retail and Wholesale Trade Managers,HARVEST
sys_occupation_classifications,ISCO_08:143,name,en,Other Services Managers,HARVEST
sys_occupation_classifications,ISCO_08:1431,name,en,"Sports, Recreation and Cultural Centre Managers",HARVEST
sys_occupation_classifications,ISCO_08:1439,name,en,Services Managers Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:2,name,en,Professionals,HARVEST
sys_occupation_classifications,ISCO_08:21,name,en,Science and Engineering Professionals,HARVEST
sys_occupation_classifications,ISCO_08:211,name,en,Physical and Earth Science Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2111,name,en,Physicists and Astronomers,HARVEST
sys_occupation_classifications,ISCO_08:2112,name,en,Meteorologists,HARVEST
sys_occupation_classifications,ISCO_08:2113,name,en,Chemists,HARVEST
