===A_FK_BY_REFERENCED_TABLE_top25===
tenants|289
employees|207
users|45
esco_skills|38
courses|11
org_units|10
enrichment_jobs|9
goals|9
performance_reviews|9
plugins|7
rbp_roles|6
business_processes|6
career_path_levels|6
tenant_jobs|6
review_cycles|6
job_templates|5
rbp_dashboards|5
internal_job_postings|5
rbp_functional_areas|5
news_articles|5
rag_documents|5
ccnl_contracts|4
onet_occupations|4
career_profiles|4
industry_classifications|4
===B_TABLES_WITH_FK_TO_employees===
ai_escalation_queue|employee_id
ai_escalation_queue|assigned_to
ai_escalation_queue|resolved_by
ai_query_audit|employee_id
analytics_events|actor_id
audit_logs|user_id_employee_id
benchmark_reports|created_by_employee_id
bonus_allocations|employee_id
bonus_allocations|approved_by_employee_id
bonus_plans|created_by_employee_id
burnout_assessments|employee_id
calibration_adjustments|proposed_by
calibration_adjustments|applied_by
calibration_adjustments|approved_by
calibration_adjustments|employee_id
calibration_audit_log|action_by
calibration_discussions|employee_id
calibration_participants|manager_id
calibration_results|approved_by
calibration_results|employee_id
calibration_sessions|facilitator_id_employee_id
calibration_sessions|created_by_employee_id
career_path_recommendations|employee_id
career_paths|created_by_employee_id
career_profiles|employee_id
career_simulations|created_by
career_simulations|employee_id
check_ins|employee_id
check_ins|manager_id
club_memberships|employee_id
competency_review_ratings|employee_id
continuous_feedback|from_employee_id
continuous_feedback|to_employee_id
contracts|employee_id
course_enrollments|enrolled_by_employee_id
course_enrollments|employee_id
course_enrollments_semantic|employee_id
courses|created_by_employee_id
dashboards|owner_id
data_subject_requests|completed_by_employee_id
document_acknowledgments|employee_id
document_comments|user_id_employee_id
document_locks|locked_by_employee_id
document_requests|employee_id
document_requests|assigned_to
document_versions|created_by_employee_id
employee_addresses|employee_id
employee_attendance|employee_id
employee_bank_details|employee_id
employee_benefit_enrollments|employee_id
employee_career_paths|assigned_by_employee_id
employee_career_paths|employee_id
employee_career_progress|employee_id
employee_certifications|employee_id
employee_certifications|verified_by_employee_id
employee_contracts|employee_id
employee_documents|verified_by
employee_documents|employee_id
employee_documents|uploaded_by
employee_documents|signed_by
employee_emergency_contacts|employee_id
employee_job_assignments|employee_id
employee_kpi_targets|employee_id
employee_occupations|employee_id
employee_overtime|employee_id
employee_pay_stubs|employee_id
employee_permission_overrides|granted_by
employee_permission_overrides|employee_id
employee_requests|approver_id
employee_requests|employee_id
employees|manager_id
employee_skill_assessments|employee_id
employee_skill_history|changed_by
employee_skill_mappings|employee_id
employee_skill_mappings|verified_by_employee_id
employee_skill_profiles|verified_by
employee_skill_profiles|employee_id
employee_skills|verified_by_employee_id
employee_skills|employee_id
employees_staging|manager_id
employees_staging|original_employee_id
employee_timeline|employee_id
employee_time_off_balances|employee_id
employee_time_off_requests|approver_id
employee_time_off_requests|employee_id
employee_training_records|employee_id
engagement_survey_responses|employee_id
export_configurations|created_by
export_jobs|triggered_by
feedback_360|reviewer_employee_id
feedback_360|target_employee_id
feedback_360_peer_suggestions|suggested_peer_id
feedback_360_peer_suggestions|target_employee_id
feedback_360_questionnaires|created_by
goal_check_ins|employee_id
goal_comments|author_id
goal_review_ratings|employee_id
goals|owner_id
goals|employee_id
goal_templates|created_by
goal_updates|author_id
internal_applications|employee_id
internal_job_alerts|employee_id
internal_job_bookmarks|employee_id
internal_job_postings|created_by_employee_id
internal_job_views|employee_id
internal_mobility_postings|created_by
internal_mobility_postings|hiring_manager_id
internal_mobility_requests|employee_id
job_analysis|analyst_id
job_evaluations|evaluated_by
learning_bookmarks|employee_id
learning_path_enrollments|employee_id
learning_path_enrollments|enrolled_by_employee_id
learning_paths|created_by_employee_id
learning_ratings|employee_id
learning_recommendations|employee_id
leave_approval_steps|approver_id
medical_certificates|employee_id
mentor_match_scores|mentor_id
mentor_match_scores|mentee_id
merit_cycles|created_by_employee_id
merit_recommendations|submitted_by_employee_id
merit_recommendations|employee_id
merit_recommendations|approved_by_employee_id
notification_preferences|user_id_employee_id
notifications|user_id_employee_id
okr_check_ins|employee_id
okr_checkins|author_id
okrs|owner_id
onboarding_checklist|completed_by_employee_id
onboarding_documents|verified_by_employee_id
onboarding_instances|employee_id
onboarding_instances|created_by_employee_id
onboarding_instances|hr_contact_id_employee_id
onboarding_tasks|completed_by_employee_id
onboarding_templates|created_by_employee_id
ontology_feedback|submitted_by
org_units|manager_id
payroll_export_employees|employee_id
performance_predictions|employee_id
performance_reviews|employee_id
performance_reviews|reviewer_id
performance_reviews|calibrated_by
performance_reviews|finalized_by
performance_skill_links|employee_id
performance_trends|employee_id
permission_overrides|granted_by
plugin_api_keys|created_by_employee_id
plugin_configurations|updated_by_employee_id
plugin_installations|installed_by_employee_id
plugin_reviews|user_id_employee_id
plugin_webhooks|created_by_employee_id
preboarding_equipment|requested_by_employee_id
preboarding_equipment|approved_by_employee_id
preboarding_sessions|created_by_employee_id
preboarding_sessions|manager_id
preboarding_templates|created_by_employee_id
preboarding_welcome_content|created_by_employee_id
pulse_checks|employee_id
rag_documents|uploaded_by_employee_id
rag_sessions|user_id_employee_id
rbp_team_leaders|leader_id
rbp_team_members|employee_id
recruiting_interviewer_availability|user_id_employee_id
recruiting_interview_participants|user_id_employee_id
recruiting_interview_participants|employee_id
recruiting_interviews|created_by_employee_id
report_definitions|created_by_employee_id
report_executions|executed_by_employee_id
report_subscriptions|subscriber_id
review_cycle_notifications|recipient_id
review_cycle_participants|manager_id
review_cycle_participants|employee_id
role_skill_requirements|updated_by
role_skill_requirements|created_by
salary_band_assignments|employee_id
salary_band_assignments|assigned_by_employee_id
salary_bands|created_by_employee_id
salary_history|approved_by
salary_history|employee_id
sap_employee_mapping|employee_id
saved_jobs|employee_id
self_assessment_evidence|employee_id
self_assessment_evidence|verified_by
self_reviews|employee_id
signature_recipients|employee_id
signature_requests|created_by_employee_id
skill_development_paths|employee_id
skill_gap_analyses|created_by_employee_id
skill_gap_snapshots|created_by_employee_id
skill_taxonomy_extensions|approved_by
social_likes|employee_id
sso_configurations|created_by_employee_id
survey_responses|employee_id
talent_pool_members|employee_id
tenants_books|approved_by_employee_id
turnover_risk_scores|employee_id
unknown_skills|reviewed_by_employee_id
users|employee_id
wellbeing_checkins|employee_id
wellbeing_goals|employee_id
wellbeing_program_enrollments|employee_id
whistleblowing_audit_log|user_id_employee_id
whistleblowing_handlers|user_id_employee_id
whistleblowing_reports|assigned_to_employee_id
workforce_plan_scenarios|created_by
===C_TABLES_WITH_FK_TO_users===
account|userId
ai_usage_log|user_id
analysis_sessions|created_by
analytics_events|user_id
audit_logs|user_id
blueprint_results|applied_by
blueprint_runs|created_by
blueprint_templates|created_by
career_skills|validated_by
cross_entity_searches|user_id
document_comments|user_id
engagement_action_plans|owner_id
engagement_action_plans|created_by
engagement_feedback|reviewed_by
engagement_pulse_configs|created_by
engagement_surveys|created_by
engagement_survey_templates|created_by
enrichment_jobs|requested_by_user_id
enrichment_matches|reviewed_by_user_id
enrichment_merges|committed_by_user_id
enrichment_merges|rolled_back_by_user_id
error_logs|user_id
error_patterns|resolved_by
news_articles|author_id
news_bookmarks|user_id
news_comments|user_id
news_reactions|user_id
news_reads|user_id
notification_preferences|user_id
notifications|user_id
org_scenarios|created_by
plugin_reviews|user_id
rag_sessions|user_id
rbp_teams|created_by
recruiting_interviewer_availability|user_id
recruiting_interview_participants|user_id
semantic_search_log|user_id
session|userId
skill_classifications|classified_by
skill_relationships|validated_by
user_workspaces|user_id
whistleblowing_audit_log|user_id
whistleblowing_handlers|user_id
workforce_plans|created_by
workforce_plans|updated_by
===D_COUNTS===
fk_to_employees|207
fk_to_users|45
===DONE===
