job_role_code,job_role_name,job_role_description,job_role_seniority_level,esco_occupation_code,esco_occupation_title,esco_occupation_uri,source_url
REF-FIN-MGR,Financial Manager,"Manages financial operations, assets, liabilities, equity and cash flow to maintain the financial health and operative viability of the company.",MANAGER,1211,financial manager,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,https://esco.ec.europa.eu/en/classification/occupation
REF-HR-MGR,Human Resources Manager,"Plans, directs and coordinates personnel policies, recruitment, training, compensation, labour relations and employee welfare for the organisation.",MANAGER,1212,human resources manager,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-ICT-MGR,ICT Services Manager,"Plans, directs and coordinates the acquisition, development, maintenance and use of information and communications technology systems and services.",MANAGER,1330,ICT operations manager,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-SALES-MKT-MGR,Sales and Marketing Manager,"Plans, directs and coordinates the sales and marketing activities of the enterprise, developing strategies to reach commercial and revenue targets.",MANAGER,1221,sales and marketing manager,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-BIZ-ADMIN-MGR,Business Services Manager,"Plans, directs and coordinates the provision of business support and administration services not elsewhere classified within the organisation.",MANAGER,1219,business administration manager,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-BANK-MGR,Bank Manager,"Oversees the management of one or several bank activities, setting policies that promote safe banking operations and ensuring commercial and social targets are met.",MANAGER,1346,bank manager,http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce,https://esco.ec.europa.eu/en/classification/occupation
REF-FX-TRADER,FX and Money Markets Trader,"Trades foreign exchange and money-market instruments on behalf of the institution, managing positions and risk across currency and interest-rate markets.",SENIOR,3311,securities and finance dealer,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-FIN-BROKER,Financial Broker,"Buys and sells financial securities and instruments for clients, advising on transactions and executing trades in financial markets.",MID,3311,financial broker,http://data.europa.eu/esco/occupation/c01cdf85-3ce0-4d12-ae86-e4e63493fafa,https://esco.ec.europa.eu/en/classification/occupation
REF-FIN-ANALYST,Financial Analyst,"Performs quantitative analyses of financial information, evaluates investments and prepares reports to support business and investment decisions.",MID,2413,financial analyst,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-ACCOUNTANT,Accountant,"Plans and maintains financial accounting systems, prepares and certifies financial statements and ensures compliance with accounting standards.",MID,2411,accountant,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-HR-BP,HR Business Partner,"Aligns human-resources strategy with business needs, advising line management on workforce planning, talent and organisational development.",SENIOR,2423,human resources officer,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-HR-SPEC,Personnel and Careers Specialist,"Provides specialist services in recruitment, staffing, training, career development and personnel administration for the organisation.",MID,2423,personnel and careers professional,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-SW-DEV,Software Developer,"Researches, designs, develops and tests software systems and applications, applying engineering principles to build maintainable software.",MID,2512,software developer,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-SW-DEV-SR,Senior Software Developer,"Leads the design and development of complex software systems, sets technical direction and mentors developers within the engineering team.",SENIOR,2512,software developer,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-APP-PROG,Applications Programmer,"Writes, tests and maintains programme code for software applications based on technical specifications and design documents.",JUNIOR,2514,applications programmer,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-ICT-OPS-TECH,ICT Operations Technician,"Monitors and supports the day-to-day operation of ICT systems, performs routine maintenance and resolves operational incidents.",JUNIOR,3511,ICT operations technician,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-SALES-REP,Commercial Sales Representative,"Represents the company to sell goods and services to businesses and organisations, maintaining client relationships and meeting sales targets.",MID,3322,commercial sales representative,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-BANK-TELLER,Bank Teller,"Processes routine over-the-counter banking transactions for customers, including deposits, withdrawals, payments and account enquiries.",ENTRY,4211,bank teller,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-OFFICE-SUPV,Office Supervisor,"Supervises and coordinates the activities of clerical and administrative staff, organising workflows and ensuring service quality.",MID,3341,office supervisor,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-BANK-PROD-MGR,Banking Products Manager,"Studies the market of banking products, adapts existing products or creates new ones to suit client needs and monitors product performance indicators.",MANAGER,1346,banking products manager,http://data.europa.eu/esco/occupation/c530b0ee-46f8-40fb-818c-d9b44b891cb9,https://esco.ec.europa.eu/en/classification/occupation
REF-RISK-MGR,Risk Manager,"Identifies, assesses and mitigates financial, operational and compliance risks, defining controls and monitoring the organisation's risk exposure.",SENIOR,2421,risk manager,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-COMPLIANCE-OFF,Compliance Officer,"Ensures the organisation operates within legal and regulatory requirements, monitoring policies and advising on compliance obligations.",MID,2422,compliance officer,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-INTERNAL-AUDITOR,Internal Auditor,"Examines and evaluates the organisation's internal controls, governance and accounting processes to ensure accuracy and compliance.",MID,2411,internal auditor,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-DATA-ANALYST,Data Analyst,"Collects, processes and analyses data sets to identify trends and produce insights that support business decision-making.",MID,2511,data analyst,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-PROJECT-MGR,Project Manager,"Plans, executes and closes projects, managing scope, schedule, budget and stakeholders to deliver defined business outcomes.",SENIOR,1219,project manager,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-DIV-DIRECTOR,Division Director,"Directs a major division of the enterprise, setting strategy and objectives and accountable for the division's overall performance.",EXECUTIVE,1120,managing director,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-CEO-EXEC,Chief Executive Officer,"Provides overall strategic leadership and direction for the enterprise, accountable to the board for the organisation's performance.",EXECUTIVE,1120,chief executive officer,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-QHSE-MGR,Quality and HSE Manager,"Plans and directs quality assurance, health, safety and environment programmes, ensuring compliance with standards and regulations.",MANAGER,1219,quality services manager,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-CUST-SVC-REP,Customer Service Representative,"Handles customer enquiries, requests and complaints across channels, providing information and resolving issues to ensure satisfaction.",ENTRY,4222,customer service representative,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
REF-CREDIT-ANALYST,Credit Analyst,"Assesses the creditworthiness of borrowers, analysing financial data and preparing recommendations on lending decisions and credit limits.",MID,2413,credit analyst,http://data.europa.eu/esco/occupation,https://esco.ec.europa.eu/en/classification/occupation_main
