payout_curve_code,payout_curve_name,payout_curve_kind,payout_curve_payload,payout_curve_is_global,source_url
STD_LINEAR_50_100_200,"Standard Linear 50/100/200 (threshold-target-max)",LINEAR,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":80,""payout_factor_pct"":50},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":120,""payout_factor_pct"":200}],""below_threshold_payout_pct"":0}",true,https://www.meridiancp.com/insights/annual-incentive-basics/
STD_LINEAR_50_100_150,"Conservative Linear 50/100/150 (predictable earnings)",LINEAR,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":85,""payout_factor_pct"":50},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":115,""payout_factor_pct"":150}],""below_threshold_payout_pct"":0}",true,https://www.meridiancp.com/insights/annual-incentive-basics/
STD_LINEAR_25_100_200,"Wide-Leverage Linear 25/100/200",LINEAR,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":80,""payout_factor_pct"":25},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":120,""payout_factor_pct"":200}],""below_threshold_payout_pct"":0}",true,https://www.capartners.com/cap-thinking/annual-incentive-plans-payouts-and-performance-alignment/
FLAT_SLOPE_75_100_125,"Flatter-Slope Linear 75/100/125 (uncertain conditions)",LINEAR,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":90,""payout_factor_pct"":75},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":110,""payout_factor_pct"":125}],""below_threshold_payout_pct"":0}",true,https://www.meridiancp.com/insights/considerations-for-setting-incentive-plan-goals/
CAP_AT_130,"Capped at 130% (achievement >120% capped)",CAPPED,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":80,""payout_factor_pct"":0},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":120,""payout_factor_pct"":130}],""cap_attainment_pct"":120,""cap_payout_factor_pct"":130,""below_threshold_payout_pct"":0}",true,https://www.meridiancp.com/insights/annual-incentive-basics/
CAP_AT_200,"Hard Cap at 200% (max performance ceiling)",CAPPED,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":80,""payout_factor_pct"":50},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":120,""payout_factor_pct"":200}],""cap_attainment_pct"":120,""cap_payout_factor_pct"":200,""below_threshold_payout_pct"":0}",true,https://www.capartners.com/cap-thinking/annual-incentive-plans-payouts-and-performance-alignment/
CAP_AT_150_FINANCIAL,"Capped at 150% for Earnings Metric",CAPPED,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":85,""payout_factor_pct"":50},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":115,""payout_factor_pct"":150}],""cap_attainment_pct"":115,""cap_payout_factor_pct"":150,""below_threshold_payout_pct"":0}",true,https://www.meridiancp.com/insights/annual-incentive-basics/
SOFT_CAP_HOLDBACK,"Soft-Capped with Period-End Holdback",CAPPED,"{""interpolation"":""linear"",""points"":[{""attainment_pct"":80,""payout_factor_pct"":50},{""attainment_pct"":100,""payout_factor_pct"":100},{""attainment_pct"":150,""payout_factor_pct"":250}],""soft_cap_attainment_pct"":120,""excess_held_until_period_end"":true,""below_threshold_payout_pct"":0}",true,https://aurochssolutions.com/how-to-design-your-incentive-payout-curve/
STEP_5_TIER,"Stepped 5-Tier Discrete Schedule",STEPPED,"{""interpolation"":""step"",""tiers"":[{""min_attainment_pct"":0,""payout_factor_pct"":0},{""min_attainment_pct"":80,""payout_factor_pct"":50},{""min_attainment_pct"":90,""payout_factor_pct"":75},{""min_attainment_pct"":100,""payout_factor_pct"":100},{""min_attainment_pct"":110,""payout_factor_pct"":150},{""min_attainment_pct"":120,""payout_factor_pct"":200}]}",true,https://salesmanagement.org/blog/getting-the-payout-curve-right/
STEP_3_TIER,"Stepped 3-Tier (threshold/target/max only)",STEPPED,"{""interpolation"":""step"",""tiers"":[{""min_attainment_pct"":0,""payout_factor_pct"":0},{""min_attainment_pct"":85,""payout_factor_pct"":50},{""min_attainment_pct"":100,""payout_factor_pct"":100},{""min_attainment_pct"":115,""payout_factor_pct"":150}]}",true,https://www.capartners.com/cap-thinking/annual-incentive-plans-payouts-and-performance-alignment/
STEP_10PCT_BANDS,"Stepped 10% Attainment Bands",STEPPED,"{""interpolation"":""step"",""tiers"":[{""min_attainment_pct"":80,""payout_factor_pct"":40},{""min_attainment_pct"":90,""payout_factor_pct"":70},{""min_attainment_pct"":100,""payout_factor_pct"":100},{""min_attainment_pct"":110,""payout_factor_pct"":140},{""min_attainment_pct"":120,""payout_factor_pct"":180}]}",true,https://incentivatesolutions.com/blogs/a-guide-to-design-payout-curve/
SIGMOID_STEEP_AT_GOAL,"S-Curve Steep Around Goal",SIGMOID,"{""interpolation"":""sigmoid"",""midpoint_attainment_pct"":100,""midpoint_payout_factor_pct"":100,""steepness_k"":0.12,""floor_payout_pct"":0,""ceiling_payout_pct"":200,""threshold_attainment_pct"":80,""max_attainment_pct"":120}",true,https://salesmanagement.org/blog/getting-the-payout-curve-right/
SIGMOID_FLAT_AT_GOAL,"S-Curve Flat Around Goal (goal-risk mitigation)",SIGMOID,"{""interpolation"":""sigmoid_inverse"",""midpoint_attainment_pct"":100,""midpoint_payout_factor_pct"":100,""flat_band_pct"":10,""steepness_k"":0.20,""floor_payout_pct"":0,""ceiling_payout_pct"":200,""threshold_attainment_pct"":80,""max_attainment_pct"":120}",true,https://salesmanagement.org/blog/getting-the-payout-curve-right/
