position_title,skill_name,required_proficiency,weight,criticality,source_url
Bank Teller,handle financial transactions,PROFICIENT,0.95,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Bank Teller,process payments,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Bank Teller,maintain records of financial transactions,COMPETENT,0.80,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Bank Teller,communicate with customers,COMPETENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Bank Teller,convert currency,BASIC,0.50,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Bank Teller,provide financial product information,COMPETENT,0.65,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Financial Analyst,analyse financial performance of a company,EXPERT,0.95,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Financial Analyst,interpret financial statements,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Financial Analyst,develop financial statistics reports,PROFICIENT,0.80,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Financial Analyst,synthesise financial information,PROFICIENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Financial Analyst,evaluate budgets,COMPETENT,0.70,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Financial Analyst,track key performance indicators,COMPETENT,0.65,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Compliance Officer,ensure compliance with legal requirements,EXPERT,0.95,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Compliance Officer,analyse legislation,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Compliance Officer,comply with legal regulations,PROFICIENT,0.85,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Compliance Officer,monitor company policy,COMPETENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Compliance Officer,identify legal requirements,COMPETENT,0.70,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Compliance Officer,manage relationships with stakeholders,COMPETENT,0.60,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Security Specialist,investigate security issues,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
Security Specialist,establish site security routines,PROFICIENT,0.85,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
Security Specialist,maintain incident reporting records,COMPETENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
Security Specialist,handle surveillance equipment,COMPETENT,0.70,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
Security Specialist,write security reports,BASIC,0.55,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
