skill_category_code,skill_category_name,skill_category_description,family_code_hint,source_url
ESCO-SG-COMM,"Communication, collaboration and creativity","ESCO skill group covering communicating, collaborating, liaising and networking with others plus creative skills and competences.",OLDDB::esco_skill_groups::987d59e7-752d-4a96-9d77-db82b3d7a277,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-INFO,"Information skills","ESCO skill group covering searching, processing, analysing, monitoring and documenting information and knowledge.",OLDDB::esco_skill_groups::6a22f818-e88d-4871-a2fe-1c1bb4a4c18c,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-COMPUTERS,"Working with computers","ESCO skill group covering use of digital tools, programming, operating digital systems and processing digital data.",OLDDB::esco_skill_groups::1d253a43-08e4-4257-8c4a-4457793b2a45,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-MGMT,"Management skills","ESCO skill group covering managing activities, resources, people, finance and organisational processes.",OLDDB::esco_skill_groups::18c28f22-30d2-4902-a89e-7f2909396995,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-ASSIST-CARE,"Assisting and caring","ESCO skill group covering providing support, assistance and care to people and communities.",OLDDB::esco_skill_groups::e9fe2416-9021-459c-89f6-23c5452b675d,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-CONSTRUCT,"Constructing","ESCO skill group covering building, erecting and finishing physical structures and installations.",OLDDB::esco_skill_groups::925d2120-1457-4ada-b363-f1738a397ee4,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-HANDLE-MOVE,"Handling and moving","ESCO skill group covering moving, lifting, transporting and physically handling objects and materials.",OLDDB::esco_skill_groups::3b44d362-3990-4f69-b25c-336e5b8b7257,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-MACHINERY,"Working with machinery and specialised equipment","ESCO skill group covering operating, controlling and maintaining machinery and specialised equipment.",OLDDB::esco_skill_groups::228c32f7-5a65-459a-8408-8ff9ea934ef1,https://esco.ec.europa.eu/en/classification/skill_main
ESCO-SG-LANGUAGE,"Language skills and knowledge","ESCO skill group covering understanding and using spoken and written language(s).",OLDDB::esco_skill_groups::94a2a909-8d00-4819-aded-5d945755f648,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/skills-pillar
ESCO-TSC-CORE,"Core skills and competences","ESCO transversal Level-1 category: foundational literacy, numeracy and digital core skills applicable across all contexts.",BUS-MGT,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/transversal-knowledge-skills-and-competences
