skill_family_code,skill_family_name,skill_family_description,skill_family_metadata,source_url
ISCO::5,Service and Sales Workers,"ISCO-08 Major Group 5 — workers providing personal and protective services, and selling goods in wholesale or retail establishments.","{""taxonomy"": ""ISCO-08"", ""level"": ""major_group""}",https://isco-ilo.netlify.app/en/isco-08/
ISCO::6,"Skilled Agricultural, Forestry and Fishery Workers","ISCO-08 Major Group 6 — workers growing and harvesting crops, breeding animals, and producing forestry and fishery products for market and subsistence.","{""taxonomy"": ""ISCO-08"", ""level"": ""major_group""}",https://isco-ilo.netlify.app/en/isco-08/
ISCO::7,Craft and Related Trades Workers,"ISCO-08 Major Group 7 — workers applying specific knowledge and skills in building, metalwork, handicraft, printing, and electrical and electronic trades.","{""taxonomy"": ""ISCO-08"", ""level"": ""major_group""}",https://isco-ilo.netlify.app/en/isco-08/
ISCO::8,"Plant and Machine Operators, and Assemblers","ISCO-08 Major Group 8 — workers operating and monitoring industrial machinery and equipment, and assembling products from component parts.","{""taxonomy"": ""ISCO-08"", ""level"": ""major_group""}",https://isco-ilo.netlify.app/en/isco-08/
ISCO::9,Elementary Occupations,"ISCO-08 Major Group 9 — workers performing simple and routine tasks requiring mainly hand-held tools and physical effort.","{""taxonomy"": ""ISCO-08"", ""level"": ""major_group""}",https://isco-ilo.netlify.app/en/isco-08/
ISCO::22,Health Professionals,"ISCO-08 Sub-Major Group 22 — professionals conducting research and applying scientific concepts in medicine, nursing, dentistry, pharmacy, and public health.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::23,Teaching Professionals,"ISCO-08 Sub-Major Group 23 — professionals teaching theory and practice at various educational levels and providing educational guidance.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::26,"Legal, Social and Cultural Professionals","ISCO-08 Sub-Major Group 26 — professionals in law, social sciences, religion, and the arts and culture.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::31,Science and Engineering Associate Professionals,"ISCO-08 Sub-Major Group 31 — technicians performing technical tasks in physical sciences, engineering, and related fields.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::32,Health Associate Professionals,"ISCO-08 Sub-Major Group 32 — associate professionals supporting the prevention, treatment, and rehabilitation of illness and injury.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::34,"Legal, Social, Cultural and Related Associate Professionals","ISCO-08 Sub-Major Group 34 — associate professionals supporting legal, social, sports, artistic, and religious activities.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::35,Information and Communications Technicians,"ISCO-08 Sub-Major Group 35 — technicians supporting the operation, maintenance, and use of ICT systems, networks, and applications.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::42,Customer Services Clerks,"ISCO-08 Sub-Major Group 42 — clerks dealing directly with clients regarding money-handling, travel, information, and appointments.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::44,Other Clerical Support Workers,"ISCO-08 Sub-Major Group 44 — clerks performing recording, filing, mail-handling, and other general office support tasks.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::51,Personal Service Workers,"ISCO-08 Sub-Major Group 51 — workers providing personal services related to travel, housekeeping, catering, personal care, and companionship.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::52,Sales Workers,"ISCO-08 Sub-Major Group 52 — workers selling and demonstrating goods in wholesale and retail establishments and at stalls and markets.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
