tbl,col,type,rows,non_null,null_pct
sys_activity_classification_mappings,activity_class_mapping_id,uuid,5730,5730,0.0
sys_activity_classification_mappings,activity_class_mapping_source_id,uuid,5730,5730,0.0
sys_activity_classification_mappings,activity_class_mapping_target_id,uuid,5730,5730,0.0
sys_activity_classification_mappings,activity_class_mapping_kind,character varying,5730,5730,0.0
sys_activity_classification_mappings,activity_class_mapping_confidence,numeric,5730,5730,0.0
sys_activity_classification_mappings,activity_class_mapping_metadata,jsonb,5730,5730,0.0
sys_activity_classification_mappings,created_at,timestamp with time zone,5730,5730,0.0
sys_activity_classification_mappings,updated_at,timestamp with time zone,5730,5730,0.0
sys_activity_classifications,activity_classification_id,uuid,6533,6533,0.0
sys_activity_classifications,activity_classification_scheme,character varying,6533,6533,0.0
sys_activity_classifications,activity_classification_code,character varying,6533,6533,0.0
sys_activity_classifications,activity_classification_parent_code,character varying,6533,6489,0.7
sys_activity_classifications,activity_classification_name,character varying,6533,6533,0.0
sys_activity_classifications,activity_classification_description,text,6533,0,100.0
sys_activity_classifications,activity_classification_level,smallint,6533,6533,0.0
sys_activity_classifications,activity_classification_metadata,jsonb,6533,6533,0.0
sys_activity_classifications,created_at,timestamp with time zone,6533,6533,0.0
sys_activity_classifications,updated_at,timestamp with time zone,6533,6533,0.0
sys_assessment_methods,assessment_method_id,uuid,5,5,0.0
sys_assessment_methods,assessment_method_code,character varying,5,5,0.0
sys_assessment_methods,assessment_method_name,character varying,5,5,0.0
sys_assessment_methods,assessment_method_description,text,5,0,100.0
sys_assessment_methods,assessment_method_metadata,jsonb,5,5,0.0
sys_assessment_methods,created_at,timestamp with time zone,5,5,0.0
sys_assessment_results,assessment_result_id,uuid,1560,1560,0.0
sys_assessment_results,assessment_result_assessment_id,uuid,1560,1560,0.0
sys_assessment_results,assessment_result_tenant_id,uuid,1560,1560,0.0
sys_assessment_results,assessment_result_dimension,character varying,1560,1560,0.0
sys_assessment_results,assessment_result_score,numeric,1560,1560,0.0
sys_assessment_results,assessment_result_narrative,text,1560,0,100.0
